Measure,Year,TravelType,Reason,UNIT,Value
Number of Nights by Irish Residents,2005,Domestic,Visiting friends/relatives,Thousand,6535.0
Number of Nights by Irish Residents,2005,Domestic,Other reasons,Thousand,2422.0
Number of Nights by Irish Residents,2005,Outbound,All reasons for journey,Thousand,51503.0
Number of Nights by Irish Residents,2005,Outbound,Holiday,Thousand,36714.0
Number of Nights by Irish Residents,2005,Outbound,Business,Thousand,3870.0
Number of Nights by Irish Residents,2005,Outbound,Visiting friends/relatives,Thousand,7706.0
Number of Nights by Irish Residents,2005,Outbound,Other reasons,Thousand,3211.0
Number of Nights by Irish Residents,2006,Domestic,All reasons for journey,Thousand,24203.0
Number of Nights by Irish Residents,2006,Domestic,Holiday,Thousand,14374.0
Number of Nights by Irish Residents,2006,Domestic,Business,Thousand,2080.0
Number of Nights by Irish Residents,2006,Domestic,Visiting friends/relatives,Thousand,6168.0
Number of Nights by Irish Residents,2006,Domestic,Other reasons,Thousand,1581.0
Number of Nights by Irish Residents,2006,Outbound,All reasons for journey,Thousand,54266.0
Number of Nights by Irish Residents,2006,Outbound,Holiday,Thousand,38884.0
Number of Nights by Irish Residents,2006,Outbound,Business,Thousand,4282.0
Number of Nights by Irish Residents,2006,Outbound,Visiting friends/relatives,Thousand,9063.0
Number of Nights by Irish Residents,2006,Outbound,Other reasons,Thousand,2037.0
Number of Nights by Irish Residents,2007,Domestic,All reasons for journey,Thousand,26328.0
Number of Nights by Irish Residents,2007,Domestic,Holiday,Thousand,16359.0
Number of Nights by Irish Residents,2007,Domestic,Business,Thousand,1771.0
Number of Nights by Irish Residents,2007,Domestic,Visiting friends/relatives,Thousand,6587.0
Number of Nights by Irish Residents,2007,Domestic,Other reasons,Thousand,1611.0
Number of Nights by Irish Residents,2007,Outbound,All reasons for journey,Thousand,62236.0
Number of Nights by Irish Residents,2007,Outbound,Holiday,Thousand,47019.0
Number of Nights by Irish Residents,2007,Outbound,Business,Thousand,3669.0
Number of Nights by Irish Residents,2007,Outbound,Visiting friends/relatives,Thousand,9304.0
Number of Nights by Irish Residents,2007,Outbound,Other reasons,Thousand,2244.0
Number of Nights by Irish Residents,2008,Domestic,All reasons for journey,Thousand,26195.0
Number of Nights by Irish Residents,2008,Domestic,Holiday,Thousand,15654.0
Number of Nights by Irish Residents,2008,Domestic,Business,Thousand,1573.0
Number of Nights by Irish Residents,2008,Domestic,Visiting friends/relatives,Thousand,6969.0
Number of Nights by Irish Residents,2008,Domestic,Other reasons,Thousand,2000.0
Number of Nights by Irish Residents,2008,Outbound,All reasons for journey,Thousand,63498.0
Number of Nights by Irish Residents,2008,Outbound,Holiday,Thousand,46229.0
Number of Nights by Irish Residents,2008,Outbound,Business,Thousand,4133.0
Number of Nights by Irish Residents,2008,Outbound,Visiting friends/relatives,Thousand,10400.0
Number of Nights by Irish Residents,2008,Outbound,Other reasons,Thousand,2736.0
Number of Nights by Irish Residents,2009,Domestic,All reasons for journey,Thousand,26027.0
Number of Nights by Irish Residents,2009,Domestic,Holiday,Thousand,14320.0
Number of Nights by Irish Residents,2009,Domestic,Business,Thousand,1437.0
Number of Nights by Irish Residents,2009,Domestic,Visiting friends/relatives,Thousand,6868.0
Number of Nights by Irish Residents,2009,Domestic,Education and training,Thousand,1175.0
Number of Nights by Irish Residents,2009,Domestic,Sporting events,Thousand,561.0
Number of Nights by Irish Residents,2009,Domestic,Other reasons,Thousand,1664.0
Number of Nights by Irish Residents,2009,Outbound,All reasons for journey,Thousand,55667.0
Number of Nights by Irish Residents,2009,Outbound,Holiday,Thousand,37869.0
Number of Nights by Irish Residents,2009,Outbound,Business,Thousand,2961.0
Number of Nights by Irish Residents,2009,Outbound,Visiting friends/relatives,Thousand,10358.0
Number of Nights by Irish Residents,2009,Outbound,Education and training,Thousand,1360.0
Number of Nights by Irish Residents,2009,Outbound,Sporting events,Thousand,884.0
Number of Nights by Irish Residents,2009,Outbound,Other reasons,Thousand,2234.0
Number of Nights by Irish Residents,2010,Domestic,All reasons for journey,Thousand,22540.0
Number of Nights by Irish Residents,2010,Domestic,Holiday,Thousand,13981.0
Number of Nights by Irish Residents,2010,Domestic,Business,Thousand,672.0
Number of Nights by Irish Residents,2010,Domestic,Visiting friends/relatives,Thousand,5346.0
Number of Nights by Irish Residents,2010,Domestic,Education and training,Thousand,672.0
Number of Nights by Irish Residents,2010,Domestic,Work/looking for work,Thousand,275.0
Number of Nights by Irish Residents,2010,Domestic,Sporting events,Thousand,478.0
Number of Nights by Irish Residents,2010,Domestic,Other reasons,Thousand,1115.0
Number of Nights by Irish Residents,2010,Outbound,All reasons for journey,Thousand,57473.0
Number of Nights by Irish Residents,2010,Outbound,Holiday,Thousand,37657.0
Number of Nights by Irish Residents,2010,Outbound,Business,Thousand,2495.0
Number of Nights by Irish Residents,2010,Outbound,Visiting friends/relatives,Thousand,12415.0
Number of Nights by Irish Residents,2010,Outbound,Education and training,Thousand,1160.0
Number of Nights by Irish Residents,2010,Outbound,Work/looking for work,Thousand,1060.0
Number of Nights by Irish Residents,2010,Outbound,Sporting events,Thousand,955.0
Number of Nights by Irish Residents,2010,Outbound,Other reasons,Thousand,1732.0
Number of Nights by Irish Residents,2011,Domestic,All reasons for journey,Thousand,21628.0
Number of Nights by Irish Residents,2011,Domestic,Holiday,Thousand,12972.0
Number of Nights by Irish Residents,2011,Domestic,Business,Thousand,586.0
Number of Nights by Irish Residents,2011,Domestic,Visiting friends/relatives,Thousand,5817.0
Number of Nights by Irish Residents,2011,Domestic,Education and training,Thousand,395.0
Number of Nights by Irish Residents,2011,Domestic,Work/looking for work,Thousand,307.0
Number of Nights by Irish Residents,2011,Domestic,Sporting events,Thousand,524.0
Number of Nights by Irish Residents,2011,Domestic,Other reasons,Thousand,1028.0
Number of Nights by Irish Residents,2011,Outbound,All reasons for journey,Thousand,54014.0
Number of Nights by Irish Residents,2011,Outbound,Holiday,Thousand,32183.0
Number of Nights by Irish Residents,2011,Outbound,Business,Thousand,2714.0
Number of Nights by Irish Residents,2011,Outbound,Visiting friends/relatives,Thousand,13462.0
Number of Nights by Irish Residents,2011,Outbound,Education and training,Thousand,1129.0
Number of Nights by Irish Residents,2011,Outbound,Work/looking for work,Thousand,1069.0
Number of Nights by Irish Residents,2011,Outbound,Sporting events,Thousand,969.0
Number of Nights by Irish Residents,2011,Outbound,Other reasons,Thousand,2488.0
Number of Nights by Irish Residents,2012,Domestic,All reasons for journey,Thousand,23703.0
Number of Nights by Irish Residents,2012,Domestic,Holiday,Thousand,12771.0
Number of Nights by Irish Residents,2012,Domestic,Business,Thousand,693.0
Number of Nights by Irish Residents,2012,Domestic,Visiting friends/relatives,Thousand,7033.0
Number of Nights by Irish Residents,2012,Domestic,Education and training,Thousand,1046.0
Number of Nights by Irish Residents,2012,Domestic,Work/looking for work,Thousand,442.0
Number of Nights by Irish Residents,2012,Domestic,Sporting events,Thousand,567.0
Number of Nights by Irish Residents,2012,Domestic,Other reasons,Thousand,1149.0
Number of Nights by Irish Residents,2012,Outbound,All reasons for journey,Thousand,53112.0
Number of Nights by Irish Residents,2012,Outbound,Holiday,Thousand,34462.0
Number of Nights by Irish Residents,2012,Outbound,Business,Thousand,2199.0
Number of Nights by Irish Residents,2012,Outbound,Visiting friends/relatives,Thousand,10502.0
Number of Nights by Irish Residents,2012,Outbound,Education and training,Thousand,1136.0
Number of Nights by Irish Residents,2012,Outbound,Work/looking for work,Thousand,2078.0
Number of Nights by Irish Residents,2012,Outbound,Sporting events,Thousand,1081.0
Number of Nights by Irish Residents,2012,Outbound,Other reasons,Thousand,1655.0
Number of Nights by Irish Residents,2013,Domestic,All reasons for journey,Thousand,24195.0
Number of Nights by Irish Residents,2013,Domestic,Holiday,Thousand,13986.0
Number of Nights by Irish Residents,2013,Domestic,Business,Thousand,616.0
Number of Nights by Irish Residents,2013,Domestic,Visiting friends/relatives,Thousand,7095.0
Number of Nights by Irish Residents,2013,Domestic,Education and training,Thousand,721.0
Number of Nights by Irish Residents,2013,Domestic,Work/looking for work,Thousand,266.0
Number of Nights by Irish Residents,2013,Domestic,Sporting events,Thousand,495.0
Number of Nights by Irish Residents,2013,Domestic,Other reasons,Thousand,1016.0
Number of Nights by Irish Residents,2013,Outbound,All reasons for journey,Thousand,51985.0
Number of Nights by Irish Residents,2013,Outbound,Holiday,Thousand,31726.0
Number of Nights by Irish Residents,2013,Outbound,Business,Thousand,2394.0
Number of Nights by Irish Residents,2013,Outbound,Visiting friends/relatives,Thousand,12141.0
Number of Nights by Irish Residents,2013,Outbound,Education and training,Thousand,1001.0
Number of Nights by Irish Residents,2013,Outbound,Work/looking for work,Thousand,2436.0
Number of Nights by Irish Residents,2013,Outbound,Sporting events,Thousand,932.0
Number of Nights by Irish Residents,2013,Outbound,Other reasons,Thousand,1356.0
Number of Nights by Irish Residents,2014,Domestic,All reasons for journey,Thousand,26086.0
Number of Nights by Irish Residents,2014,Domestic,Holiday,Thousand,14424.0
Number of Nights by Irish Residents,2014,Domestic,Business,Thousand,904.0
Number of Nights by Irish Residents,2014,Domestic,Visiting friends/relatives,Thousand,7335.0
Number of Nights by Irish Residents,2014,Domestic,Education and training,Thousand,745.0
Number of Nights by Irish Residents,2014,Domestic,Work/looking for work,Thousand,368.0
Number of Nights by Irish Residents,2014,Domestic,Sporting events,Thousand,755.0
Number of Nights by Irish Residents,2014,Domestic,Other reasons,Thousand,1556.0
Number of Nights by Irish Residents,2014,Outbound,All reasons for journey,Thousand,53652.0
Number of Nights by Irish Residents,2014,Outbound,Holiday,Thousand,33095.0
Number of Nights by Irish Residents,2014,Outbound,Business,Thousand,2980.0
Number of Nights by Irish Residents,2014,Outbound,Visiting friends/relatives,Thousand,12763.0
Number of Nights by Irish Residents,2014,Outbound,Education and training,Thousand,1024.0
Number of Nights by Irish Residents,2014,Outbound,Work/looking for work,Thousand,1722.0
Number of Nights by Irish Residents,2014,Outbound,Sporting events,Thousand,772.0
Number of Nights by Irish Residents,2014,Outbound,Other reasons,Thousand,1296.0
Number of Nights by Irish Residents,2015,Domestic,All reasons for journey,Thousand,25267.0
Number of Nights by Irish Residents,2015,Domestic,Holiday,Thousand,14751.0
Number of Nights by Irish Residents,2015,Domestic,Business,Thousand,672.0
Number of Nights by Irish Residents,2015,Domestic,Visiting friends/relatives,Thousand,6877.0
Number of Nights by Irish Residents,2015,Domestic,Education and training,Thousand,952.0
Number of Nights by Irish Residents,2015,Domestic,Work/looking for work,Thousand,259.0
Number of Nights by Irish Residents,2015,Domestic,Sporting events,Thousand,630.0
Number of Nights by Irish Residents,2015,Domestic,Other reasons,Thousand,1126.0
Number of Nights by Irish Residents,2015,Outbound,All reasons for journey,Thousand,53515.0
Number of Nights by Irish Residents,2015,Outbound,Holiday,Thousand,35276.0
Number of Nights by Irish Residents,2015,Outbound,Business,Thousand,2905.0
Number of Nights by Irish Residents,2015,Outbound,Visiting friends/relatives,Thousand,10298.0
Number of Nights by Irish Residents,2015,Outbound,Education and training,Thousand,931.0
Number of Nights by Irish Residents,2015,Outbound,Work/looking for work,Thousand,1651.0
Number of Nights by Irish Residents,2015,Outbound,Sporting events,Thousand,920.0
Number of Nights by Irish Residents,2015,Outbound,Other reasons,Thousand,1535.0
Number of Nights by Irish Residents,2016,Domestic,All reasons for journey,Thousand,25589.0
Number of Nights by Irish Residents,2016,Domestic,Holiday,Thousand,15077.0
Number of Nights by Irish Residents,2016,Domestic,Business,Thousand,764.0
Number of Nights by Irish Residents,2016,Domestic,Visiting friends/relatives,Thousand,7238.0
Number of Nights by Irish Residents,2016,Domestic,Education and training,Thousand,772.0
Number of Nights by Irish Residents,2016,Domestic,Work/looking for work,Thousand,220.0
Number of Nights by Irish Residents,2016,Domestic,Sporting events,Thousand,574.0
Number of Nights by Irish Residents,2016,Domestic,Other reasons,Thousand,944.0
Number of Nights by Irish Residents,2016,Outbound,All reasons for journey,Thousand,56748.0
Number of Nights by Irish Residents,2016,Outbound,Holiday,Thousand,34957.0
Number of Nights by Irish Residents,2016,Outbound,Business,Thousand,4065.0
Number of Nights by Irish Residents,2016,Outbound,Visiting friends/relatives,Thousand,11841.0
Number of Nights by Irish Residents,2016,Outbound,Education and training,Thousand,1179.0
Number of Nights by Irish Residents,2016,Outbound,Work/looking for work,Thousand,1702.0
Number of Nights by Irish Residents,2016,Outbound,Sporting events,Thousand,1163.0
Number of Nights by Irish Residents,2016,Outbound,Other reasons,Thousand,1842.0
Number of Nights by Irish Residents,2017,Domestic,All reasons for journey,Thousand,25539.0
Number of Nights by Irish Residents,2017,Domestic,Holiday,Thousand,13844.0
Number of Nights by Irish Residents,2017,Domestic,Business,Thousand,745.0
Number of Nights by Irish Residents,2017,Domestic,Visiting friends/relatives,Thousand,7689.0
Number of Nights by Irish Residents,2017,Domestic,Education and training,Thousand,1218.0
Number of Nights by Irish Residents,2017,Domestic,Work/looking for work,Thousand,288.0
Number of Nights by Irish Residents,2017,Domestic,Sporting events,Thousand,669.0
Number of Nights by Irish Residents,2017,Domestic,Other reasons,Thousand,1086.0
Number of Nights by Irish Residents,2017,Outbound,All reasons for journey,Thousand,57698.0
Number of Nights by Irish Residents,2017,Outbound,Holiday,Thousand,36691.0
Number of Nights by Irish Residents,2017,Outbound,Business,Thousand,2705.0
Number of Nights by Irish Residents,2017,Outbound,Visiting friends/relatives,Thousand,11708.0
Number of Nights by Irish Residents,2017,Outbound,Education and training,Thousand,1810.0
Number of Nights by Irish Residents,2017,Outbound,Work/looking for work,Thousand,2165.0
Number of Nights by Irish Residents,2017,Outbound,Sporting events,Thousand,1053.0
Number of Nights by Irish Residents,2017,Outbound,Other reasons,Thousand,1565.0
Number of Nights by Irish Residents,2018,Domestic,All reasons for journey,Thousand,28393.0
Number of Nights by Irish Residents,2018,Domestic,Holiday,Thousand,15058.0
Number of Nights by Irish Residents,2018,Domestic,Business,Thousand,779.0
Number of Nights by Irish Residents,2018,Domestic,Visiting friends/relatives,Thousand,9000.0
Number of Nights by Irish Residents,2018,Domestic,Education and training,Thousand,884.0
Number of Nights by Irish Residents,2018,Domestic,Work/looking for work,Thousand,449.0
Number of Nights by Irish Residents,2018,Domestic,Sporting events,Thousand,678.0
Number of Nights by Irish Residents,2018,Domestic,Other reasons,Thousand,1545.0
Number of Nights by Irish Residents,2018,Outbound,All reasons for journey,Thousand,60623.0
Number of Nights by Irish Residents,2018,Outbound,Holiday,Thousand,40067.0
Number of Nights by Irish Residents,2018,Outbound,Business,Thousand,3129.0
Number of Nights by Irish Residents,2018,Outbound,Visiting friends/relatives,Thousand,12954.0
Number of Nights by Irish Residents,2018,Outbound,Education and training,Thousand,1172.0
Number of Nights by Irish Residents,2018,Outbound,Work/looking for work,Thousand,902.0
Number of Nights by Irish Residents,2018,Outbound,Sporting events,Thousand,1232.0
Number of Nights by Irish Residents,2018,Outbound,Other reasons,Thousand,1167.0
Number of Nights by Irish Residents,2019,Domestic,All reasons for journey,Thousand,29469.0
Number of Nights by Irish Residents,2019,Domestic,Holiday,Thousand,16003.0
Number of Nights by Irish Residents,2019,Domestic,Business,Thousand,879.0
Number of Nights by Irish Residents,2019,Domestic,Visiting friends/relatives,Thousand,8836.0
Number of Nights by Irish Residents,2019,Domestic,Education and training,Thousand,985.0
Number of Nights by Irish Residents,2019,Domestic,Work/looking for work,Thousand,605.0
Number of Nights by Irish Residents,2019,Domestic,Sporting events,Thousand,739.0
Number of Nights by Irish Residents,2019,Domestic,Other reasons,Thousand,1423.0
Number of Nights by Irish Residents,2019,Outbound,All reasons for journey,Thousand,66927.0
Number of Nights by Irish Residents,2019,Outbound,Holiday,Thousand,43783.0
Number of Nights by Irish Residents,2019,Outbound,Business,Thousand,3344.0
Number of Nights by Irish Residents,2019,Outbound,Visiting friends/relatives,Thousand,12601.0
Number of Nights by Irish Residents,2019,Outbound,Education and training,Thousand,2005.0
Number of Nights by Irish Residents,2019,Outbound,Work/looking for work,Thousand,1639.0
Number of Nights by Irish Residents,2019,Outbound,Sporting events,Thousand,1747.0
Number of Nights by Irish Residents,2019,Outbound,Other reasons,Thousand,1807.0
Number of Nights by Irish Residents,2020,Domestic,All reasons for journey,Thousand,23518.0
Number of Nights by Irish Residents,2020,Domestic,Holiday,Thousand,13351.0
Number of Nights by Irish Residents,2020,Domestic,Business,Thousand,595.0
Number of Nights by Irish Residents,2020,Domestic,Visiting friends/relatives,Thousand,7449.0
Number of Nights by Irish Residents,2020,Domestic,Other reasons,Thousand,2124.0
Number of Nights by Irish Residents,2020,Outbound,All reasons for journey,Thousand,15597.0
Number of Nights by Irish Residents,2021,Domestic,All reasons for journey,Thousand,17886.0
Number of Nights by Irish Residents,2021,Domestic,Holiday,Thousand,10835.0
Number of Nights by Irish Residents,2021,Domestic,Business,Thousand,368.0
Number of Nights by Irish Residents,2021,Domestic,Visiting friends/relatives,Thousand,5231.0
Number of Nights by Irish Residents,2021,Domestic,Other reasons,Thousand,1453.0
Number of Nights by Irish Residents,2021,Outbound,All reasons for journey,Thousand,17443.0
Number of Nights by Irish Residents,2021,Outbound,Holiday,Thousand,7156.0
Number of Nights by Irish Residents,2021,Outbound,Business,Thousand,1151.0
Number of Nights by Irish Residents,2021,Outbound,Visiting friends/relatives,Thousand,5187.0
Number of Nights by Irish Residents,2021,Outbound,Other reasons,Thousand,3949.0
Number of Nights by Irish Residents,2022,Domestic,All reasons for journey,Thousand,34236.0
Number of Nights by Irish Residents,2022,Domestic,Holiday,Thousand,18607.0
Number of Nights by Irish Residents,2022,Domestic,Business,Thousand,1150.0
Number of Nights by Irish Residents,2022,Domestic,Visiting friends/relatives,Thousand,10407.0
Number of Nights by Irish Residents,2022,Domestic,Other reasons,Thousand,4073.0
Number of Nights by Irish Residents,2022,Outbound,All reasons for journey,Thousand,61205.0
Number of Nights by Irish Residents,2022,Outbound,Holiday,Thousand,40147.0
Number of Nights by Irish Residents,2022,Outbound,Business,Thousand,2125.0
Number of Nights by Irish Residents,2022,Outbound,Visiting friends/relatives,Thousand,13799.0
Number of Nights by Irish Residents,2022,Outbound,Other reasons,Thousand,5134.0
Number of Nights by Irish Residents,2023,Domestic,All reasons for journey,Thousand,33966.0
Number of Nights by Irish Residents,2023,Domestic,Holiday,Thousand,16152.0
Number of Nights by Irish Residents,2023,Domestic,Business,Thousand,1059.0
Number of Nights by Irish Residents,2023,Domestic,Visiting friends/relatives,Thousand,13553.0
Number of Nights by Irish Residents,2023,Domestic,Other reasons,Thousand,3202.0
Number of Nights by Irish Residents,2023,Outbound,All reasons for journey,Thousand,79923.0
Number of Nights by Irish Residents,2023,Outbound,Holiday,Thousand,47660.0
Number of Nights by Irish Residents,2023,Outbound,Business,Thousand,3221.0
Number of Nights by Irish Residents,2023,Outbound,Visiting friends/relatives,Thousand,24469.0
Number of Nights by Irish Residents,2023,Outbound,Other reasons,Thousand,4572.0
Number of Nights by Irish Residents,2024,Domestic,All reasons for journey,Thousand,36747.0
Number of Nights by Irish Residents,2024,Domestic,Holiday,Thousand,16758.0
Number of Nights by Irish Residents,2024,Domestic,Business,Thousand,1267.0
Number of Nights by Irish Residents,2024,Domestic,Visiting friends/relatives,Thousand,15013.0
Number of Nights by Irish Residents,2024,Domestic,Other reasons,Thousand,3709.0
Number of Nights by Irish Residents,2024,Outbound,All reasons for journey,Thousand,81204.0
Number of Nights by Irish Residents,2024,Outbound,Holiday,Thousand,53505.0
Number of Nights by Irish Residents,2024,Outbound,Business,Thousand,3574.0
Number of Nights by Irish Residents,2024,Outbound,Visiting friends/relatives,Thousand,19579.0
Number of Nights by Irish Residents,2024,Outbound,Other reasons,Thousand,4546.0
Average Length of Stay by Irish Residents,2000,Domestic,All reasons for journey,Nights per Trip,3.8
Estimated Expenditure by Irish Residents,2000,Domestic,Holiday,Euro Million,447.7
Estimated Expenditure by Irish Residents,2000,Domestic,Business,Euro Million,109.5
Estimated Expenditure by Irish Residents,2000,Domestic,Visiting friends/relatives,Euro Million,81.3
Estimated Expenditure by Irish Residents,2000,Domestic,Other reasons,Euro Million,68.1
Estimated Expenditure by Irish Residents,2000,Outbound,All reasons for journey,Euro Million,3187.3
Estimated Expenditure by Irish Residents,2000,Outbound,Holiday,Euro Million,1984.5
Estimated Expenditure by Irish Residents,2000,Outbound,Business,Euro Million,740.3
Estimated Expenditure by Irish Residents,2000,Outbound,Visiting friends/relatives,Euro Million,297.5
Estimated Expenditure by Irish Residents,2000,Outbound,Other reasons,Euro Million,165.0
Estimated Expenditure by Irish Residents,2001,Domestic,All reasons for journey,Euro Million,879.9
Estimated Expenditure by Irish Residents,2001,Domestic,Holiday,Euro Million,549.7
Estimated Expenditure by Irish Residents,2001,Domestic,Business,Euro Million,149.3
Estimated Expenditure by Irish Residents,2001,Domestic,Visiting friends/relatives,Euro Million,86.6
Estimated Expenditure by Irish Residents,2001,Domestic,Other reasons,Euro Million,94.3
Estimated Expenditure by Irish Residents,2001,Outbound,All reasons for journey,Euro Million,3549.7
Estimated Expenditure by Irish Residents,2001,Outbound,Holiday,Euro Million,2252.0
Estimated Expenditure by Irish Residents,2001,Outbound,Business,Euro Million,810.5
Estimated Expenditure by Irish Residents,2001,Outbound,Visiting friends/relatives,Euro Million,290.4
Estimated Expenditure by Irish Residents,2001,Outbound,Other reasons,Euro Million,196.8
Estimated Expenditure by Irish Residents,2002,Domestic,All reasons for journey,Euro Million,894.4
Estimated Expenditure by Irish Residents,2002,Domestic,Holiday,Euro Million,501.6
Estimated Expenditure by Irish Residents,2002,Domestic,Business,Euro Million,152.9
Estimated Expenditure by Irish Residents,2002,Domestic,Visiting friends/relatives,Euro Million,97.2
Estimated Expenditure by Irish Residents,2002,Domestic,Other reasons,Euro Million,97.7
Estimated Expenditure by Irish Residents,2002,Outbound,All reasons for journey,Euro Million,3924.0
Estimated Expenditure by Irish Residents,2002,Outbound,Holiday,Euro Million,2565.3
Estimated Expenditure by Irish Residents,2002,Outbound,Business,Euro Million,796.1
Estimated Expenditure by Irish Residents,2002,Outbound,Visiting friends/relatives,Euro Million,351.2
Estimated Expenditure by Irish Residents,2002,Outbound,Other reasons,Euro Million,211.4
Estimated Expenditure by Irish Residents,2003,Domestic,All reasons for journey,Euro Million,970.1
Estimated Expenditure by Irish Residents,2003,Domestic,Holiday,Euro Million,575.9
Estimated Expenditure by Irish Residents,2003,Domestic,Business,Euro Million,157.6
Estimated Expenditure by Irish Residents,2003,Domestic,Visiting friends/relatives,Euro Million,114.0
Estimated Expenditure by Irish Residents,2003,Domestic,Other reasons,Euro Million,123.4
Estimated Expenditure by Irish Residents,2003,Outbound,All reasons for journey,Euro Million,4092.2
Estimated Expenditure by Irish Residents,2003,Outbound,Holiday,Euro Million,2720.1
Estimated Expenditure by Irish Residents,2003,Outbound,Business,Euro Million,792.3
Estimated Expenditure by Irish Residents,2003,Outbound,Visiting friends/relatives,Euro Million,366.7
Estimated Expenditure by Irish Residents,2003,Outbound,Other reasons,Euro Million,213.1
Estimated Expenditure by Irish Residents,2004,Domestic,All reasons for journey,Euro Million,1037.2
Estimated Expenditure by Irish Residents,2004,Domestic,Holiday,Euro Million,624.9
Estimated Expenditure by Irish Residents,2004,Domestic,Business,Euro Million,162.5
Estimated Expenditure by Irish Residents,2004,Domestic,Visiting friends/relatives,Euro Million,121.1
Estimated Expenditure by Irish Residents,2004,Domestic,Other reasons,Euro Million,128.7
Estimated Expenditure by Irish Residents,2004,Outbound,All reasons for journey,Euro Million,4258.2
Estimated Expenditure by Irish Residents,2004,Outbound,Holiday,Euro Million,2927.1
Estimated Expenditure by Irish Residents,2004,Outbound,Business,Euro Million,741.5
Estimated Expenditure by Irish Residents,2004,Outbound,Visiting friends/relatives,Euro Million,387.4
Estimated Expenditure by Irish Residents,2004,Outbound,Other reasons,Euro Million,202.2
Estimated Expenditure by Irish Residents,2005,Domestic,All reasons for journey,Euro Million,1164.5
Estimated Expenditure by Irish Residents,2005,Domestic,Holiday,Euro Million,706.8
Estimated Expenditure by Irish Residents,2005,Domestic,Business,Euro Million,188.3
Estimated Expenditure by Irish Residents,2005,Domestic,Visiting friends/relatives,Euro Million,142.4
Estimated Expenditure by Irish Residents,2005,Domestic,Other reasons,Euro Million,127.0
Estimated Expenditure by Irish Residents,2005,Outbound,All reasons for journey,Euro Million,5044.1
Estimated Expenditure by Irish Residents,2005,Outbound,Holiday,Euro Million,3407.1
Estimated Expenditure by Irish Residents,2005,Outbound,Business,Euro Million,840.6
Estimated Expenditure by Irish Residents,2005,Outbound,Visiting friends/relatives,Euro Million,531.7
Estimated Expenditure by Irish Residents,2005,Outbound,Other reasons,Euro Million,264.7
Estimated Expenditure by Irish Residents,2006,Domestic,All reasons for journey,Euro Million,1375.2
Estimated Expenditure by Irish Residents,2006,Domestic,Holiday,Euro Million,872.7
Estimated Expenditure by Irish Residents,2006,Domestic,Business,Euro Million,227.3
Estimated Expenditure by Irish Residents,2006,Domestic,Visiting friends/relatives,Euro Million,181.8
Estimated Expenditure by Irish Residents,2006,Domestic,Other reasons,Euro Million,93.4
Estimated Expenditure by Irish Residents,2006,Outbound,All reasons for journey,Euro Million,6134.5
Estimated Expenditure by Irish Residents,2006,Outbound,Holiday,Euro Million,4363.9
Estimated Expenditure by Irish Residents,2006,Outbound,Business,Euro Million,849.0
Estimated Expenditure by Irish Residents,2006,Outbound,Visiting friends/relatives,Euro Million,696.7
Estimated Expenditure by Irish Residents,2006,Outbound,Other reasons,Euro Million,224.9
Estimated Expenditure by Irish Residents,2007,Domestic,All reasons for journey,Euro Million,1551.0
Estimated Expenditure by Irish Residents,2007,Domestic,Holiday,Euro Million,1028.1
Estimated Expenditure by Irish Residents,2007,Domestic,Business,Euro Million,194.1
Estimated Expenditure by Irish Residents,2007,Domestic,Visiting friends/relatives,Euro Million,219.7
Estimated Expenditure by Irish Residents,2007,Domestic,Other reasons,Euro Million,109.1
Estimated Expenditure by Irish Residents,2007,Outbound,All reasons for journey,Euro Million,7344.8
Estimated Expenditure by Irish Residents,2007,Outbound,Holiday,Euro Million,5542.4
Estimated Expenditure by Irish Residents,2007,Outbound,Business,Euro Million,784.3
Estimated Expenditure by Irish Residents,2007,Outbound,Visiting friends/relatives,Euro Million,784.7
Estimated Expenditure by Irish Residents,2007,Outbound,Other reasons,Euro Million,233.4
Estimated Expenditure by Irish Residents,2008,Domestic,All reasons for journey,Euro Million,1546.0
Estimated Expenditure by Irish Residents,2008,Domestic,Holiday,Euro Million,1027.9
Estimated Expenditure by Irish Residents,2008,Domestic,Business,Euro Million,162.8
Estimated Expenditure by Irish Residents,2008,Domestic,Visiting friends/relatives,Euro Million,215.7
Estimated Expenditure by Irish Residents,2008,Domestic,Other reasons,Euro Million,139.6
Estimated Expenditure by Irish Residents,2008,Outbound,All reasons for journey,Euro Million,7187.0
Estimated Expenditure by Irish Residents,2008,Outbound,Holiday,Euro Million,5282.7
Estimated Expenditure by Irish Residents,2008,Outbound,Business,Euro Million,785.7
Estimated Expenditure by Irish Residents,2008,Outbound,Visiting friends/relatives,Euro Million,840.8
Estimated Expenditure by Irish Residents,2008,Outbound,Other reasons,Euro Million,277.8
Estimated Expenditure by Irish Residents,2009,Domestic,All reasons for journey,Euro Million,1389.8
Estimated Expenditure by Irish Residents,2009,Domestic,Holiday,Euro Million,843.3
Estimated Expenditure by Irish Residents,2009,Domestic,Business,Euro Million,136.2
Estimated Expenditure by Irish Residents,2009,Domestic,Visiting friends/relatives,Euro Million,171.1
Estimated Expenditure by Irish Residents,2009,Domestic,Education and training,Euro Million,61.9
Estimated Expenditure by Irish Residents,2009,Domestic,Sporting events,Euro Million,39.3
Estimated Expenditure by Irish Residents,2009,Domestic,Other reasons,Euro Million,138.0
Estimated Expenditure by Irish Residents,2009,Outbound,All reasons for journey,Euro Million,5786.9
