Measure,Year,TravelType,Reason,UNIT,Value
Number of Trips by Irish Residents,2007,Domestic,Business,Thousand,711.0
Number of Trips by Irish Residents,2007,Domestic,Visiting friends/relatives,Thousand,2420.0
Number of Trips by Irish Residents,2007,Domestic,Other reasons,Thousand,541.0
Number of Trips by Irish Residents,2007,Outbound,All reasons for journey,Thousand,7830.0
Number of Trips by Irish Residents,2007,Outbound,Holiday,Thousand,5448.0
Number of Trips by Irish Residents,2007,Outbound,Business,Thousand,723.0
Number of Trips by Irish Residents,2007,Outbound,Visiting friends/relatives,Thousand,1356.0
Number of Trips by Irish Residents,2007,Outbound,Other reasons,Thousand,303.0
Number of Trips by Irish Residents,2008,Domestic,All reasons for journey,Thousand,8339.0
Number of Trips by Irish Residents,2008,Domestic,Holiday,Thousand,4398.0
Number of Trips by Irish Residents,2008,Domestic,Business,Thousand,658.0
Number of Trips by Irish Residents,2008,Domestic,Visiting friends/relatives,Thousand,2656.0
Number of Trips by Irish Residents,2008,Domestic,Other reasons,Thousand,627.0
Number of Trips by Irish Residents,2008,Outbound,All reasons for journey,Thousand,8042.0
Number of Trips by Irish Residents,2008,Outbound,Holiday,Thousand,5557.0
Number of Trips by Irish Residents,2008,Outbound,Business,Thousand,668.0
Number of Trips by Irish Residents,2008,Outbound,Visiting friends/relatives,Thousand,1455.0
Number of Trips by Irish Residents,2008,Outbound,Other reasons,Thousand,362.0
Number of Trips by Irish Residents,2009,Domestic,All reasons for journey,Thousand,8340.0
Number of Trips by Irish Residents,2009,Domestic,Holiday,Thousand,4037.0
Number of Trips by Irish Residents,2009,Domestic,Business,Thousand,600.0
Number of Trips by Irish Residents,2009,Domestic,Visiting friends/relatives,Thousand,2712.0
Number of Trips by Irish Residents,2009,Domestic,Education and training,Thousand,173.0
Number of Trips by Irish Residents,2009,Domestic,Sporting events,Thousand,282.0
Number of Trips by Irish Residents,2009,Domestic,Other reasons,Thousand,535.0
Number of Trips by Irish Residents,2009,Outbound,All reasons for journey,Thousand,7292.0
Number of Trips by Irish Residents,2009,Outbound,Holiday,Thousand,4499.0
Number of Trips by Irish Residents,2009,Outbound,Business,Thousand,638.0
Number of Trips by Irish Residents,2009,Outbound,Visiting friends/relatives,Thousand,1523.0
Number of Trips by Irish Residents,2009,Outbound,Education and training,Thousand,137.0
Number of Trips by Irish Residents,2009,Outbound,Sporting events,Thousand,275.0
Number of Trips by Irish Residents,2009,Outbound,Other reasons,Thousand,220.0
Number of Trips by Irish Residents,2010,Domestic,All reasons for journey,Thousand,7300.0
Number of Trips by Irish Residents,2010,Domestic,Holiday,Thousand,3978.0
Number of Trips by Irish Residents,2010,Domestic,Business,Thousand,370.0
Number of Trips by Irish Residents,2010,Domestic,Visiting friends/relatives,Thousand,1997.0
Number of Trips by Irish Residents,2010,Domestic,Education and training,Thousand,129.0
